Question_ID,Question,Answer,Source_References
Q001,"What is the power capacity of the GreenPower Max model?","The GreenPower Max (model PG-M01) provides a continuous output of 180 kVA with peak capacity up to 360 kW. It operates in both three-phase and single-phase configurations, making it suitable for medium to large-scale applications requiring substantial power delivery.","[Source: greenpower.com/products/PG-M01] [Document: Manual_PG-M01_v3.2.pdf, Section 2.1]"
Q002,"Can I rent a GreenPower system for a one-week festival?","Yes, all our GreenPower models are available for rental. For a one-week festival, the PG-M01 (Max) costs €1,800-€2,500/week, the PG-P01 (Performance) is €900-€1,200/week, and the PG-C01 (Compact) is €350-€500/week. Delivery, setup, and pickup are included within 100km radius.","[Source: greenpower.com/rental-options] [Document: Rental_Terms_2024.pdf] [Cross-ref: greenpower.com/event-solutions]"
Q003,"How much diesel fuel can I save by switching to GreenPower?","Fuel savings depend on your usage pattern and model chosen. In full autonomous mode, you achieve 100% diesel elimination. In hybrid mode (solar + diesel backup), our clients report 85-95% fuel reduction with the PG-M01 model. A construction site case study from Valmanya showed 95% savings over 6 months.","[Source: greenpower.com/fuel-savings-calculator] [Document: Case_Study_Festival_Valmanya_2023.pdf, Page 8] [Data: Energy_Performance_Report_2024.xlsx]"
Q004,"What type of batteries does GreenPower use?","Our systems use two types of premium battery technology: reconditioned second-life EV batteries (from Tesla, Nissan, BMW) in our larger models (PG-U01, PG-M01), and Grade A LiFePO4 cells in smaller units (PG-P01, PG-C01, PG-M02). All batteries are tested, certified, and come with manufacturer warranties.","[Source: greenpower.com/technology/batteries] [Document: Battery_Specifications_Technical_Guide.pdf] [Certification: ISO_Battery_Testing_Report_2024.pdf]"
Q005,"How long does installation take for the Compact model?","The GreenPower Compact (PG-C01) features true plug-and-play design with installation time of just 30 minutes to 1 hour for basic setup. Full commissioning with solar panel deployment and system testing takes 2-4 hours. Our technicians can complete this remotely via video call if needed.","[Source: greenpower.com/installation-guide] [Document: Quick_Start_Guide_Compact.pdf] [Video: greenpower.com/videos/pg-c01-setup]"
Q006,"Is GreenPower suitable for low-emission zones (ZFE)?","Absolutely! GreenPower systems produce zero emissions during operation - no CO2, no particulates, no NOx. They are fully compliant with all European low-emission zone regulations and are increasingly required on construction sites in Paris, Lyon, Marseille, and other ZFE-classified cities.","[Source: greenpower.com/zfe-compliance] [Document: ZFE_Certification_Europe_2024.pdf] [Reference: EC_Emissions_Standards_Compliance.pdf]"
Q007,"Can I monitor my GreenPower system remotely?","Yes, all models include remote monitoring capabilities. The mobile app (iOS/Android) provides real-time data on power production, battery levels, solar charging, and consumption. Premium models (PG-U01, PG-M01) include predictive maintenance alerts and AI-powered energy optimization.","[Source: greenpower.com/remote-monitoring] [Document: Remote_Monitoring_Setup_2024.pdf] [App: Download at greenpower.com/app]"
Q008,"What is the difference between Performance and Max models?","The main differences are capacity and mobility. PG-M01 (Max) delivers 180 kVA with 720 kWh battery storage on a towable trailer - ideal for large festivals and major construction sites. PG-P01 (Performance) provides 80 kVA with 320 kWh in a compact cabinet format - perfect for medium sites with space constraints.","[Source: greenpower.com/model-comparison] [Document: Product_Comparison_Matrix_2024.pdf] [Tool: greenpower.com/product-selector]"
Q009,"How often does GreenPower require maintenance?","Maintenance intervals vary by model: PG-U01 every 6 months, PG-M01 and PG-P01 annually, PG-C01 every 18 months, PG-M02 every 24 months. Our systems have no moving parts (except fans) which dramatically reduces maintenance compared to diesel generators that require servicing every 200-500 hours.","[Source: greenpower.com/maintenance-schedule] [Document: Preventive_Maintenance_Guide_2024.pdf] [Contract: Annual_Maintenance_Terms.pdf]"
Q010,"Can GreenPower work in hybrid mode with my existing diesel generator?","Yes! We offer the Hybrid Diesel Interface Kit (PG-ACC-03) which seamlessly integrates with most diesel generators. In hybrid mode, solar handles base load while diesel only runs during peak demand or low sun periods. This typically increases fuel savings from 85% to 95%+ while maintaining 100% power reliability.","[Source: greenpower.com/hybrid-solutions] [Document: Hybrid_Mode_Configuration_Guide.pdf, Chapter 4] [Video: greenpower.com/videos/hybrid-setup]"
Q011,"What events has GreenPower powered recently?","GreenPower systems have been deployed at major events including: GreenSound Music Festival (Bordeaux, 2024), BioCamp Eco-Summit (Nantes, 2024), and Sustainable Cinema Festival (Lyon, 2025). We've also powered construction sites for the Paris 2024 Olympic infrastructure and multiple film productions.","[Source: greenpower.com/case-studies/events] [Document: Event_Portfolio_2024-2025.pdf] [Press: Media_Coverage_Archive.pdf]"
Q012,"How does weather affect GreenPower performance?","Our systems operate in -10°C to +45°C temperatures depending on model. Solar charging is optimized through MPPT controllers which extract maximum power even in cloudy conditions. Battery thermal management maintains optimal performance. In winter or extended cloudy periods, hybrid mode or grid charging compensates.","[Source: greenpower.com/weather-performance] [Document: Environmental_Operating_Conditions.pdf] [Data: Seasonal_Performance_Analysis_2023.xlsx]"
Q013,"What is the return on investment for GreenPower?","ROI varies by usage intensity. For construction sites running 8-12 hours daily, typical payback is 3-5 years through fuel savings alone. For events and rental businesses, ROI can be achieved in 2-3 years. Tax incentives and green energy subsidies can reduce payback by 30-40% in France.","[Source: greenpower.com/roi-calculator] [Document: Financial_Analysis_Construction_Sector.pdf] [Tool: Interactive ROI calculator at greenpower.com/calculate-savings]"
Q014,"Can I expand the battery capacity later?","Yes, the PG-P01 and PG-C01 models support modular battery expansion. The Battery Expansion Module (PG-ACC-02) adds 50-100% capacity and can be retrofitted in 2-4 hours. The PG-M01 and PG-U01 can be expanded but require factory consultation for optimal configuration.","[Source: greenpower.com/upgrades] [Document: Battery_Expansion_Module_Guide.pdf] [Contact: upgrades@greenpower.com]"
Q015,"Is GreenPower certified for professional use?","All GreenPower systems carry CE certification and comply with DIN VDE 0126-1-1 and C15-100-712 standards. Victron Energy converters carry 5-year warranties, solar panels 25 years, and batteries per supplier specifications. Systems meet CONSUEL (French electrical safety) requirements.","[Source: greenpower.com/certifications] [Document: CE_Certification_Complete_Range.pdf] [Standard: Compliance_Matrix_EU_Regulations.pdf]"
